 #M_ecl   m_max
   5.09637070       2.51188636    
   5.19459963       2.51188636    
   5.29472113       2.51188636    
   5.39677334       2.57039547    
   5.50079155       2.57039547    
   5.60681438       2.63026762    
   5.71488142       2.63026762    
   5.82503128       2.69153452    
   5.93730450       2.69153452    
   6.05174065       2.69153452    
   6.16838360       2.75422835    
   6.28727388       2.75422835    
   6.40845585       2.81838250    
   6.53197432       2.81838250    
   6.65787220       2.88403106    
   6.78619814       2.88403106    
   6.91699648       2.95120859    
   7.05031538       2.95120859    
   7.18620539       2.95120859    
   7.32471323       3.01995111    
   7.46589184       3.01995111    
   7.60979033       3.09029460    
   7.75646257       3.09029460    
   7.90596294       3.16227674    
   8.05834293       3.16227674    
   8.21366215       3.23593569    
   8.37197304       3.23593569    
   8.53333569       3.31131005    
   8.69781017       3.31131005    
   8.86545277       3.31131005    
   9.03632832       3.38844132    
   9.21049500       3.38844132    
   9.38801956       3.46736813    
   9.56896687       3.46736813    
   9.75340080       3.54813361    
   9.94139004       3.54813361    
   10.1330023       3.63077998    
   10.3283072       3.63077998    
   10.5273790       3.71535182    
   10.7302856       3.71535182    
   10.9371023       3.80189323    
   11.1479053       3.80189323    
   11.3627720       3.89045072    
   11.5817795       3.89045072    
   11.8050117       3.98107076    
   12.0325432       3.98107076    
   12.2644606       3.98107076    
   12.5008469       4.07380199    
   12.7417936       4.07380199    
   12.9873810       4.16869259    
   13.2377014       4.16869259    
   13.4928465       4.26579380    
   13.7529097       4.26579380    
   14.0179853       4.36515713    
   14.2881737       4.36515713    
   14.5635662       4.46683550    
   14.8442659       4.46683550    
   15.1303768       4.57088137    
   15.4220057       4.57088137    
   15.7192516       4.67735100    
   16.0222263       4.67735100    
   16.3310413       4.78630018    
   16.6458092       4.78630018    
   16.9666424       4.89778757    
   17.2936592       4.89778757    
   17.6269855       5.01187134    
   17.9667301       5.01187134    
   18.3130283       5.12861300    
   18.6659966       5.12861300    
   19.0257664       5.24807358    
   19.3924732       5.24807358    
   19.7662449       5.37031651    
   20.1472225       5.37031651    
   20.5355434       5.49540758    
   20.9313488       5.49540758    
   21.3347874       5.62341166    
   21.7459984       5.62341166    
   22.1651382       5.75439787    
   22.5923538       5.75439787    
   23.0278015       5.88843489    
   23.4716415       5.88843489    
   23.9240379       6.02559566    
   24.3851528       6.02559566    
   24.8551559       6.16594934    
   25.3342247       6.16594934    
   25.8225212       6.30957270    
   26.3202267       6.30957270    
   26.8275337       6.45654154    
   27.3446121       6.45654154    
   27.8716564       6.60693359    
   28.4088573       6.60693359    
   28.9564152       6.76082850    
   29.5145245       6.76082850    
   30.0833912       6.91830826    
   30.6632309       6.91830826    
   31.2542381       7.07945633    
   31.8566380       7.07945633    
   32.4706573       7.24435806    
   33.0965004       7.24435806    
   33.7344055       7.41310024    
   34.3846092       7.41310024    
   35.0473404       7.58577347    
   35.7228508       7.58577347    
   36.4113770       7.76246881    
   37.1131859       7.76246881    
   37.8285103       7.94327974    
   38.5576210       7.94327974    
   39.3007965       8.12830448    
   40.0582848       8.12830448    
   40.8303757       8.31763649    
   41.6173439       8.31763649    
   42.4194832       8.51137924    
   43.2370834       8.70963478    
   44.0704422       8.70963478    
   44.9198723       8.91250801    
