 #M_ecl   m_max
   5.06933546       1.47910821    
   5.13963270       1.47910821    
   5.21090460       1.47910821    
   5.28316450       1.51356101    
   5.35642672       1.51356101    
   5.43070459       1.51356101    
   5.50601292       1.54881644    
   5.58236504       1.54881644    
   5.65977621       1.58489299    
   5.73826122       1.58489299    
   5.81783390       1.58489299    
   5.89851141       1.62180984    
   5.98030567       1.62180984    
   6.06323624       1.62180984    
   6.14731550       1.65958655    
   6.23256063       1.65958655    
   6.31898832       1.65958655    
   6.40661430       1.69824326    
   6.49545574       1.69824326    
   6.58552885       1.73780036    
   6.67685080       1.73780036    
   6.76943922       1.73780036    
   6.86331177       1.77827895    
   6.95848608       1.77827895    
   7.05497980       1.77827895    
   7.15281200       1.81970036    
   7.25200081       1.81970036    
   7.35256481       1.81970036    
   7.45452356       1.86208701    
   7.55789614       1.86208701    
   7.66270208       1.90546060    
   7.76896143       1.90546060    
   7.87669468       1.90546060    
   7.98592138       1.94984448    
   8.09666252       1.94984448    
   8.20894051       1.94984448    
   8.32277584       1.99526215    
   8.43818665       1.99526215    
   8.55520153       2.04173779    
   8.67383575       2.04173779    
   8.79411793       2.04173779    
   8.91606522       2.08929586    
   9.03970718       2.08929586    
   9.16506004       2.08929586    
   9.29215431       2.13796163    
   9.42100906       2.13796163    
   9.55165100       2.18776131    
   9.68410492       2.18776131    
   9.81839561       2.18776131    
   9.95454788       2.23872066    
   10.0925884       2.23872066    
   10.2325420       2.23872066    
   10.3744392       2.29086709    
   10.5183039       2.29086709    
   10.6641607       2.34422827    
   10.8120403       2.34422827    
   10.9619732       2.34422827    
   11.1139851       2.39883232    
   11.2681026       2.39883232    
   11.4243603       2.39883232    
   11.5827808       2.45470810    
   11.7434025       2.45470810    
   11.9062471       2.51188636    
   12.0713539       2.51188636    
   12.2387476       2.51188636    
   12.4084644       2.57039547    
   12.5805321       2.57039547    
   12.7549896       2.57039547    
   12.9318628       2.63026762    
   13.1111917       2.63026762    
   13.2930040       2.69153452    
   13.4773407       2.69153452    
   13.6642342       2.69153452    
   13.8537159       2.75422835    
   14.0458250       2.75422835    
   14.2406015       2.81838250    
   14.4380789       2.81838250    
   14.6382914       2.81838250    
   14.8412800       2.88403106    
   15.0470877       2.88403106    
   15.2557487       2.88403106    
   15.4672995       2.95120859    
   15.6817837       2.95120859    
   15.8992472       3.01995111    
   16.1197262       3.01995111    
   16.3432579       3.01995111    
   16.5698891       3.09029460    
   16.7996674       3.09029460    
   17.0326309       3.16227674    
   17.2688217       3.16227674    
   17.5082932       3.16227674    
   17.7510853       3.23593569    
   17.9972382       3.23593569    
   18.2468052       3.23593569    
   18.4998379       3.31131005    
   18.7563801       3.31131005    
   19.0164738       3.38844132    
   19.2801743       3.38844132    
   19.5475368       3.38844132    
   19.8186073       3.46736813    
   20.0934315       3.46736813    
   20.3720646       3.54813361    
   20.6545696       3.54813361    
   20.9409904       3.54813361    
   21.2313786       3.63077998    
   21.5257931       3.63077998    
   21.8242970       3.71535182    
   22.1269398       3.71535182    
   22.4337730       3.71535182    
   22.7448616       3.80189323    
   23.0602684       3.80189323    
   23.3800507       3.89045072    
   23.7042618       3.89045072    
   24.0329666       3.89045072    
   24.3662376       3.98107076    
   24.7041302       3.98107076    
   25.0467014       3.98107076    
   25.3940296       4.07380199    
   25.7461758       4.07380199    
   26.1031971       4.16869259    
   26.4651680       4.16869259    
   26.8321667       4.16869259    
   27.2042542       4.26579380    
   27.5814953       4.26579380    
   27.9639664       4.36515713    
   28.3517494       4.36515713    
   28.7449093       4.36515713    
   29.1435146       4.46683550    
   29.5476456       4.46683550    
   29.9573898       4.57088137    
   30.3728161       4.57088137    
   30.7939949       4.57088137    
   31.2210140       4.67735100    
   31.6539631       4.67735100    
   32.0929146       4.78630018    
   32.5379448       4.78630018    
   32.9891472       4.78630018    
   33.4466171       4.89778757    
   33.9104271       4.89778757    
   34.3806648       5.01187134    
   34.8574295       5.01187134    
   35.3408051       5.01187134    
   35.8308716       5.12861300    
   36.3277397       5.12861300    
   36.8315048       5.24807358    
   37.3422546       5.24807358    
   37.8600769       5.24807358    
   38.3850822       5.37031651    
   38.9173775       5.37031651    
   39.4570541       5.49540758    
   40.0042038       5.49540758    
   40.5589409       5.49540758    
   41.1213799       5.62341166    
   41.6916199       5.62341166    
   42.2697563       5.75439787    
   42.8559074       5.75439787    
   43.4501991       5.75439787    
   44.0527344       5.88843489    
   44.6636124       5.88843489    
   45.2829590       6.02559566    
   45.9109116       6.02559566    
   46.5475655       6.02559566    
   47.1930389       6.16594934    
   47.8474655       6.16594934    
   48.5109749       6.30957270    
   49.1836891       6.30957270    
   49.8657150       6.30957270    
   50.5572014       6.45654154    
   51.2583046       6.45654154    
   51.9691010       6.60693359    
   52.6897545       6.60693359    
   53.4204025       6.60693359    
   54.1612091       6.76082850    
   54.9122620       6.76082850    
   55.6737251       6.91830826    
   56.4457512       6.91830826    
   57.2285118       6.91830826    
   58.0220985       7.07945633    
   58.8266907       7.07945633    
   59.6424675       7.24435806    
   60.4695282       7.24435806    
   61.3080559       7.24435806    
   62.1582108       7.41310024    
   63.0201912       7.41310024    
   63.8940887       7.58577347    
   64.7801056       7.58577347    
   65.6784134       7.58577347    
   66.5892029       7.76246881    
   67.5125961       7.76246881    
   68.4487915       7.94327974    
   69.3979645       7.94327974    
   70.3603439       7.94327974    
   71.3360291       8.12830448    
   72.3252411       8.12830448    
   73.3281708       8.31763649    
   74.3450470       8.31763649    
   75.3759918       8.31763649    
   76.4212265       8.51137924    
   77.4809570       8.51137924    
   78.5554199       8.70963478    
   79.6447449       8.70963478    
   80.7491760       8.70963478    
   81.8689194       8.91250801    
   83.0042419       8.91250801    
   84.1552582       9.12010670    
   85.3222351       9.12010670    
   86.5054398       9.33254147    
   87.7050095       9.33254147    
   88.9212112       9.33254147    
   90.1542740       9.54992390    
   91.4044952       9.54992390    
   92.6719971       9.77236938    
   93.9570694       9.77236938    
   95.2599716       9.77236938    
   96.5809937       9.99999714    
   97.9202728       9.99999714    
   99.2781296       10.2329273    
   100.654816       10.2329273    
   102.050644       10.2329273    
   103.465782       10.4712820    
   104.900536       10.4712820    
   106.355186       10.7151890    
   107.830070       10.7151890    
   109.325340       10.7151890    
   110.841354       10.9647779    
   112.378387       10.9647779    
   113.936790       11.2201805    
   115.516747       11.2201805    
   117.118614       11.2201805    
   118.742691       11.4815311    
   120.389359       11.4815311    
   122.058792       11.7489710    
   123.751373       11.7489710    
   125.467499       11.7489710    
   127.207352       12.0226393    
   128.971329       12.0226393    
   130.759766       12.3026819    
   132.573090       12.3026819    
   134.411469       12.3026819    
   136.275345       12.5892544    
   138.165070       12.5892544    
   140.081070       12.8824959    
   142.023575       12.8824959    
   143.993011       13.1825676    
   145.989761       13.1825676    
   148.014267       13.1825676    
   150.066772       13.4896288    
   152.147751       13.4896288    
   154.257568       13.8038425    
   156.396744       13.8038425    
   158.565491       13.8038425    
   160.764313       14.1253748    
   162.993622       14.1253748    
   165.253937       14.4543962    
   167.545502       14.4543962    
   169.868851       14.4543962    
   172.224503       14.7910824    
   174.612732       14.7910824    
   177.034088       15.1356106    
   179.489014       15.1356106    
   181.978073       15.1356106    
   184.501556       15.4881639    
   187.060028       15.4881639    
   189.653976       15.8489294    
   192.284012       15.8489294    
   194.950409       15.8489294    
   197.653778       16.2180977    
   200.394638       16.2180977    
   203.173599       16.5958652    
   205.991013       16.5958652    
   208.847473       16.5958652    
   211.743546       16.9824333    
   214.679901       16.9824333    
   217.656860       17.3780041    
